DAY,IDU,TIQ,RMS,SC,SendIt,Other,tickets completed within 2 hours,tickets completed within 10 hours,tickets completed within 24 hours,tickets completed within 48 hours,tickets completed over 48 hours,Password Reset,Error,Incident,Update Account,IP Enable / Disable
1,5,3,6,7,4,8,12,18,10,14,6,50,10,8,5,4,1
2,8,5,3,6,7,10,14,15,12,11,8,5,40,15,7,2
3,6,4,7,5,5,7,11,13,15,9,6,10,20,30,10,2
4,7,6,5,8,6,9,13,17,10,15,8,15,25,20,5,2
5,9,7,6,6,5,8,14,19,11,14,7,8,30,10,4,1
6,4,3,8,9,8,5,10,14,12,16,10,30,15,10,6,3
7,5,4,7,8,9,6,11,15,13,12,9,20,25,15,10,2
8,6,5,6,7,7,7,12,18,14,17,8,40,20,15,12,4
9,7,6,5,8,6,9,13,16,12,14,11,25,30,20,10,2
10,5,7,6,9,8,10,15,18,13,16,9,20,35,15,8,4
11,8,4,7,6,5,7,11,14,10,14,6,10,30,25,12,2
12,9,5,6,7,6,8,12,17,12,13,7,15,25,20,5,3
13,7,6,7,8,9,5,13,15,11,16,9,25,20,30,12,1
14,6,5,8,7,8,6,12,18,13,15,7,10,35,25,10,2
15,8,7,6,8,5,10,14,16,10,17,9,15,30,20,8,4
16,5,8,7,9,6,9,13,19,11,15,8,25,25,30,12,9
17,6,4,8,6,7,7,10,15,12,14,9,15,40,25,8,9
18,7,5,7,8,8,6,12,17,10,16,7,20,25,30,15,9
19,5,6,6,7,9,8,11,16,12,14,8,10,35,20,10,5
20,6,7,7,9,6,9,13,18,11,15,7,30,20,25,10,3,
21,8,4,6,7,7,10,14,16,12,13,8,25,15,30,12,1
22,7,5,8,8,6,8,12,17,10,16,9,20,30,25,8,2
23,5,6,7,9,8,7,10,14,13,17,8,25,20,20,10,9
24,9,7,6,8,7,9,15,19,12,14,8,30,35,15,12,9
25,8,6,7,7,6,10,12,16,14,15,9,15,25,20,15,9
26,7,5,8,8,8,6,13,18,10,16,7,20,30,25,10,9
27,9,6,6,9,5,7,14,19,13,17,8,25,25,30,15,3
28,8,7,8,6,7,8,11,16,12,14,7,10,30,20,10,2
29,6,8,7,8,9,9,12,17,10,15,8,15,25,25,10,1
30,7,6,6,7,8,7,10,18,11,16,8,20,35,30,10,2
31,5,7,8,9,6,8,12,16,13,14,9,25,30,20,12,1
